"","gridcode","Stratum","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"13044",5298828,"70",13.719616,-670214.2069,1364547.7754,0.208729794767,0.00232496710376,-166.780658178,61.67703906
"13045",99414296,"70",13.719616,-666510.2069,1364547.7754,0.208738800831,0.00232543995934,-166.711742046,61.6833568097
"13046",35221492,"70",13.719616,-662806.2069,1364547.7754,0.208747705765,0.00232591057228,-166.642798185,61.6896408218
"13047",64726300,"70",13.719616,-659102.2069,1364547.7754,0.208756506207,0.00232637884517,-166.573826728,61.695891076
"13048",72012424,"70",13.719616,-655398.2069,1364547.7754,0.208765205375,0.00232684480823,-166.504827808,61.7021075515
"13049",23089262,"70",13.719616,-651694.2069,1364547.7754,0.208773802477,0.00232730843787,-166.435801556,61.7082902289
"13050",39850768,"70",11.756660828,-648250.105156,1364608.26756,0.187507803687,0.00199471568746,-166.371806141,61.7145415168
"13051",969443,"81",0.268803647507,-913291.272033,1362567.33287,0.0561558083649,4.48271549933e-05,-171.227018724,61.172642484
"13052",58972548,"81",9.13507250776,-910409.298132,1360952.17141,0.212204190242,0.00152283136008,-171.167352856,61.1652809528
"13053",26753396,"81",13.719616,-907270.2069,1360843.7754,0.207753897235,0.00228783478718,-171.110232571,61.1715058296
"13054",67558776,"81",13.719616,-903566.2069,1360843.7754,0.207770707546,0.00228844218554,-171.043411585,61.179927939
"13055",84867536,"81",13.719616,-899862.2069,1360843.7754,0.20778737638,0.00228904757436,-170.976555292,61.188317817
"13056",73083088,"81",13.719616,-896158.2069,1360843.7754,0.207803911246,0.00228965106014,-170.909663802,61.1966754381
"13057",48999948,"81",13.719616,-892454.2069,1360843.7754,0.207820309024,0.00229025257046,-170.842737221,61.2050007775
"13058",95402392,"81",13.719616,-888750.2069,1360843.7754,0.207836570815,0.00229085211452,-170.775775659,61.2132938096
"13059",28796958,"81",13.719616,-885046.2069,1360843.7754,0.207852694466,0.00229144963269,-170.708779224,61.2215545092
"13060",53821380,"81",13.719616,-881342.2069,1360843.7754,0.20786868581,0.00229204522311,-170.641748025,61.2297828512
"13061",1019829,"81",13.719616,-877638.2069,1360843.7754,0.207884540707,0.00229263879393,-170.574682173,61.23797881
"13062",54259376,"81",13.719616,-873934.2069,1360843.7754,0.20790026051,0.00229323037124,-170.507581776,61.2461423614
"13063",85905528,"81",13.2361318466,-870292.493031,1360802.85667,0.203876141776,0.00221306903306,-170.441388532,61.2537826671
"13064",85905528,"70",0.483484153435,-868525.027033,1361963.98937,0.0550987194731,8.08837742231e-05,-170.414655243,61.2677188737
"13065",58995716,"81",0.228319901813,-868277.312667,1359494.65603,0.0378482737645,3.81598141942e-05,-170.39886931,61.246852731
"13066",58995716,"70",13.4912960982,-866496.572068,1360866.60722,0.205155672154,0.00225613328303,-170.372843922,61.2626351377
"13067",83178744,"70",13.719616,-862822.2069,1360843.7754,0.207946619447,0.00229499312237,-170.306074429,61.2704383207
"13068",18205502,"70",13.719616,-859118.2069,1360843.7754,0.207961806138,0.0022955766926,-170.238836965,61.278471993
"13069",10579181,"70",13.719616,-855414.2069,1360843.7754,0.207976862241,0.00229615823471,-170.171565513,61.2864731336
"13070",70078864,"70",13.719616,-851710.2069,1360843.7754,0.207991784399,0.00229673774031,-170.104260185,61.294441718
"13071",62264776,"70",13.719616,-848006.2069,1360843.7754,0.208006576707,0.00229731523367,-170.036921094,61.3023777218
"13072",32126844,"70",13.719616,-844302.2069,1360843.7754,0.208021238476,0.00229789072933,-169.969548354,61.3102811206
"13073",17981448,"70",13.719616,-840598.2069,1360843.7754,0.208035768117,0.0022984641058,-169.902142078,61.3181518901
"13074",87708400,"70",13.719616,-836894.2069,1360843.7754,0.20805016891,0.0022990354383,-169.83470238,61.3259900057
"13075",64707632,"70",13.719616,-833190.2069,1360843.7754,0.208064441238,0.00229960475868,-169.767229373,61.3337954432
"13076",39631056,"70",13.719616,-829486.2069,1360843.7754,0.208078584011,0.00230017203017,-169.699723174,61.341568179
"13077",99576024,"70",13.719616,-825782.2069,1360843.7754,0.20809259978,0.00230073722989,-169.632183897,61.349308189
"13078",5406062,"70",13.719616,-822078.2069,1360843.7754,0.208106485165,0.00230130029003,-169.564611657,61.3570154488
"13079",76715200,"70",13.719616,-818374.2069,1360843.7754,0.208120243864,0.00230186131533,-169.497006571,61.3646899344
"13080",82347416,"70",13.719616,-814670.2069,1360843.7754,0.20813387791,0.00230242032219,-169.429368754,61.3723316221
"13081",4217926,"70",13.719616,-810966.2069,1360843.7754,0.208147383109,0.00230297716528,-169.361698323,61.3799404883
"13082",44838340,"70",13.719616,-807262.2069,1360843.7754,0.208160760822,0.00230353186908,-169.293995396,61.3875165095
"13083",47586816,"70",13.719616,-803558.2069,1360843.7754,0.208174016536,0.00230408455221,-169.22626009,61.3950596621
"13084",22138582,"70",13.719616,-799854.2069,1360843.7754,0.208187146305,0.00230463513644,-169.158492522,61.402569922
"13085",90752184,"70",13.719616,-796150.2069,1360843.7754,0.208200152679,0.00230518359894,-169.090692811,61.410047266
"13086",38733136,"70",13.719616,-792446.2069,1360843.7754,0.208213034692,0.00230572993491,-169.022861075,61.4174916709
"13087",48427700,"70",13.719616,-788742.2069,1360843.7754,0.208225791858,0.00230627411533,-168.954997433,61.4249031136
"13088",39067372,"70",13.719616,-785038.2069,1360843.7754,0.208238429735,0.00230681624451,-168.887102005,61.4322815705
"13089",12374883,"70",13.719616,-781334.2069,1360843.7754,0.208250942291,0.00230735617693,-168.81917491,61.4396270185
"13090",57306544,"70",13.719616,-777630.2069,1360843.7754,0.208263333952,0.00230789399155,-168.751216268,61.4469394344
"13091",38389228,"70",13.719616,-773926.2069,1360843.7754,0.208275605094,0.00230842966877,-168.6832262,61.4542187958
